2025-12-12 00:54:40 | 45.156.129.46 | United States | Desktop | human | Tüm kontrolleri geçti → Gerçek insan | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
2025-12-12 00:55:55 | 188.119.36.168 | Türkiye | Desktop | bot | User-Agent: Bilinen bot (googlebot) | Googlebot/2.1
2025-12-12 00:55:55 | 188.119.36.168 | Türkiye | Desktop | bot | User-Agent: Bilinen bot (selenium) | Selenium/3.141
2025-12-12 00:55:56 | 188.119.36.168 | Türkiye | Desktop | human | Tüm kontrolleri geçti → Gerçek insan | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
2025-12-12 00:55:56 | 188.119.36.168 | Türkiye | Desktop | bot | Geçersiz/boş User-Agent | 
2025-12-12 00:55:56 | 188.119.36.168 | Türkiye | Desktop | bot | Honeypot tuzağına düştü (website_url = bot.com) | Mozilla/5.0 (Windows NT; Windows NT 10.0; tr-TR) WindowsPowerShell/5.1.19041.6456
2025-12-12 00:55:57 | 188.119.36.168 | Türkiye | Desktop | bot | Honeypot tuzağına düştü (contact_email = bot@test.com) | Mozilla/5.0 (Windows NT; Windows NT 10.0; tr-TR) WindowsPowerShell/5.1.19041.6456
2025-12-12 00:55:57 | 188.119.36.168 | Türkiye | Desktop | bot | Honeypot tuzağına düştü (homepage = http://spam.com) | Mozilla/5.0 (Windows NT; Windows NT 10.0; tr-TR) WindowsPowerShell/5.1.19041.6456
2025-12-12 00:58:39 | 2a00:1880:a290:7c6d:5459:d181:f6a0:bd0c | Türkiye | Mobile | bot | Cloudflare Turnstile çözülemedi. Hata: missing-input-response | Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-12-12 00:58:45 | 2a00:1880:a290:7c6d:5459:d181:f6a0:bd0c | Türkiye | Mobile | bot | Cloudflare Turnstile çözülemedi. Hata: missing-input-response | Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-12-12 00:58:53 | 2a00:1880:a290:7c6d:5459:d181:f6a0:bd0c | Türkiye | Mobile | bot | Cloudflare Turnstile çözülemedi. Hata: missing-input-response | Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-12-12 00:58:57 | 2a00:1880:a290:7c6d:5459:d181:f6a0:bd0c | Türkiye | Mobile | bot | Cloudflare Turnstile çözülemedi. Hata: missing-input-response | Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-12-12 00:59:03 | 2a00:1880:a290:7c6d:5459:d181:f6a0:bd0c | Türkiye | Mobile | bot | Cloudflare Turnstile çözülemedi. Hata: missing-input-response | Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-12-12 00:59:07 | 2a00:1880:a290:7c6d:5459:d181:f6a0:bd0c | Türkiye | Mobile | bot | Cloudflare Turnstile çözülemedi. Hata: missing-input-response | Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-12-12 00:59:11 | 2a00:1880:a290:7c6d:5459:d181:f6a0:bd0c | Türkiye | Mobile | bot | Cloudflare Turnstile çözülemedi. Hata: missing-input-response | Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-12-12 01:09:35 | 195.178.110.155 | Andorra | Desktop | bot | Geçersiz/boş User-Agent | 
2025-12-12 01:09:43 | 195.178.110.155 | Andorra | Desktop | bot | Geçersiz/boş User-Agent | 
2025-12-12 01:09:43 | 195.178.110.155 | Andorra | Desktop | human | Tüm kontrolleri geçti → Gerçek insan | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
2025-12-12 01:09:50 | 195.178.110.155 | Andorra | Desktop | human | Tüm kontrolleri geçti → Gerçek insan | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
2025-12-12 01:09:57 | 195.178.110.155 | Andorra | Desktop | human | Tüm kontrolleri geçti → Gerçek insan | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
